   131
    350.0   0.04202   0.00961
    355.0   0.04160   0.00573
    360.0   0.04145   0.00394
    365.0   0.04164   0.00338
    370.0   0.04192   0.00318
    375.0   0.04230   0.00311
    380.0   0.04285   0.00321
    385.0   0.04296   0.00312
    390.0   0.04329   0.00300
    395.0   0.04366   0.00296
    400.0   0.04414   0.00513
    405.0   0.04430   0.00454
    410.0   0.04463   0.00408
    415.0   0.04483   0.00375
    420.0   0.04527   0.00353
    425.0   0.04549   0.00363
    430.0   0.04584   0.00343
    435.0   0.04620   0.00325
    440.0   0.04668   0.00327
    445.0   0.04691   0.00316
    450.0   0.04711   0.00311
    455.0   0.04718   0.00309
    460.0   0.04755   0.00312
    465.0   0.04765   0.00305
    470.0   0.04786   0.00295
    475.0   0.04815   0.00298
    480.0   0.04831   0.00299
    485.0   0.04870   0.00295
    490.0   0.04889   0.00295
    495.0   0.04926   0.00294
    500.0   0.04956   0.00296
    505.0   0.04986   0.00291
    510.0   0.05025   0.00301
    515.0   0.05042   0.00298
    520.0   0.05075   0.00298
    525.0   0.05083   0.00300
    530.0   0.05105   0.00294
    535.0   0.05129   0.00297
    540.0   0.05160   0.00311
    545.0   0.05162   0.00305
    550.0   0.05175   0.00295
    555.0   0.05180   0.00301
    560.0   0.05189   0.00302
    565.0   0.05190   0.00293
    570.0   0.05196   0.00297
    575.0   0.05199   0.00305
    580.0   0.05200   0.00305
    585.0   0.05199   0.00307
    590.0   0.05197   0.00296
    595.0   0.05193   0.00300
    600.0   0.05181   0.00299
    605.0   0.05169   0.00297
    610.0   0.05175   0.00297
    615.0   0.05163   0.00295
    620.0   0.05156   0.00297
    625.0   0.05135   0.00292
    630.0   0.05126   0.00290
    635.0   0.05110   0.00299
    640.0   0.05110   0.00299
    645.0   0.05097   0.00297
    650.0   0.05072   0.00291
    655.0   0.05067   0.00291
    660.0   0.05052   0.00293
    665.0   0.05034   0.00293
    670.0   0.05020   0.00295
    675.0   0.04996   0.00295
    680.0   0.04981   0.00288
    685.0   0.04978   0.00279
    690.0   0.04970   0.00283
    695.0   0.04965   0.00281
    700.0   0.04957   0.00287
    705.0   0.04957   0.00290
    710.0   0.04959   0.00285
    715.0   0.04954   0.00282
    720.0   0.04960   0.00284
    725.0   0.04958   0.00285
    730.0   0.04957   0.00290
    735.0   0.04944   0.00279
    740.0   0.04943   0.00288
    745.0   0.04930   0.00288
    750.0   0.04940   0.00290
    755.0   0.04934   0.00287
    760.0   0.04938   0.00292
    765.0   0.04954   0.00291
    770.0   0.04946   0.00289
    775.0   0.04936   0.00296
    780.0   0.04938   0.00288
    785.0   0.04938   0.00298
    790.0   0.04956   0.00296
    795.0   0.04952   0.00304
    800.0   0.04961   0.00309
    805.0   0.04954   0.00309
    810.0   0.04947   0.00308
    815.0   0.04936   0.00307
    820.0   0.04938   0.00311
    825.0   0.04938   0.00311
    830.0   0.04937   0.00311
    835.0   0.04942   0.00328
    840.0   0.04937   0.00317
    845.0   0.04928   0.00332
    850.0   0.04931   0.00324
    855.0   0.04921   0.00306
    860.0   0.04912   0.00320
    865.0   0.04901   0.00307
    870.0   0.04902   0.00322
    875.0   0.04902   0.00330
    880.0   0.04878   0.00514
    885.0   0.04833   0.00652
    890.0   0.04826   0.00602
    895.0   0.04804   0.00577
    900.0   0.04794   0.00502
    905.0   0.04796   0.00549
    910.0   0.04796   0.00510
    915.0   0.04791   0.00552
    920.0   0.04785   0.00486
    925.0   0.04775   0.00508
    930.0   0.04771   0.00480
    935.0   0.04777   0.00476
    940.0   0.04769   0.00455
    945.0   0.04771   0.00606
    950.0   0.04760   0.00551
    955.0   0.04766   0.00553
    960.0   0.04756   0.00513
    965.0   0.04746   0.00496
    970.0   0.04744   0.00508
    975.0   0.04738   0.00502
    980.0   0.04733   0.00493
    985.0   0.04730   0.00492
    990.0   0.04728   0.00475
    995.0   0.04736   0.00434
   1000.0   0.04712   0.00461



 CCMT232             .ASC                        

 MT-S1S-232                                                              
 Murchison 2-cm chip Spot C (5.6 mm) / Spectralon                        
 (i, e) = (30, 0)                                                        
 * User: S1K                                                             
 * Research Type: NASA - Foreign, Active Missions, Hayabusa2             
 * NASA PI/CoI or Sponsor: S1S                                           
 * BVC: Visitor                                                          
 * Public Release Date: 08/20/2018                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic - Alternate                                     
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 7.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.835927e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 20-AUG-15   Time: 13:13:03
