    52
    370.0   0.02805   0.02437
    380.0   0.02982   0.01687
    390.0   0.03093   0.00795
    400.0   0.03178   0.00466
    410.0   0.03263   0.00310
    420.0   0.03360   0.00236
    430.0   0.03484   0.00198
    440.0   0.03585   0.00178
    450.0   0.03657   0.00172
    460.0   0.03725   0.00161
    470.0   0.03813   0.00156
    480.0   0.03899   0.00151
    490.0   0.03982   0.00155
    500.0   0.04051   0.00167
    510.0   0.04125   0.00166
    520.0   0.04181   0.00162
    530.0   0.04221   0.00163
    540.0   0.04248   0.00167
    550.0   0.04269   0.00163
    560.0   0.04288   0.00165
    570.0   0.04286   0.00167
    580.0   0.04280   0.00168
    590.0   0.04261   0.00160
    600.0   0.04239   0.00163
    610.0   0.04217   0.00167
    620.0   0.04188   0.00160
    630.0   0.04166   0.00167
    640.0   0.04131   0.00167
    650.0   0.04098   0.00174
    660.0   0.04075   0.00164
    670.0   0.04070   0.00161
    680.0   0.04052   0.00162
    690.0   0.04023   0.00167
    700.0   0.04010   0.00161
    710.0   0.04000   0.00168
    720.0   0.03985   0.00178
    730.0   0.03980   0.00182
    740.0   0.03982   0.00197
    750.0   0.03991   0.00210
    760.0   0.04000   0.00225
    770.0   0.04018   0.00241
    780.0   0.04033   0.00272
    790.0   0.04047   0.00292
    800.0   0.04082   0.00326
    810.0   0.04104   0.00349
    820.0   0.04105   0.00379
    830.0   0.04120   0.00396
    840.0   0.04115   0.00401
    850.0   0.04110   0.00407
    860.0   0.04097   0.00404
    870.0   0.04103   0.00415
    880.0   0.04074   0.00484



 CGMP198C            .ASC                        

 MP-TXH-198-C                                                            
 ALH 84040 (CM2) 125-250 um / Spectralon at (i,e)=(70,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/16/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.553029e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 70.00   Detect Ang:  0.00  Volt: 0.777
 Date: 16-SEP-16   Time: 11:34:13
