   117
    300.0   0.34796   0.16748
    305.0   0.35730   0.10745
    310.0   0.36180   0.07708
    315.0   0.36725   0.05698
    320.0   0.37167   0.04481
    325.0   0.37630   0.03459
    330.0   0.38203   0.02912
    335.0   0.38678   0.02402
    340.0   0.39181   0.02038
    345.0   0.39629   0.01801
    350.0   0.39953   0.01617
    355.0   0.40235   0.01412
    360.0   0.40506   0.01293
    365.0   0.40754   0.01142
    370.0   0.40964   0.01172
    375.0   0.41125   0.00961
    380.0   0.41268   0.00903
    385.0   0.41387   0.00960
    390.0   0.41437   0.01015
    395.0   0.41270   0.01097
    400.0   0.41123   0.00886
    405.0   0.41136   0.00951
    410.0   0.41160   0.00938
    415.0   0.41087   0.00825
    420.0   0.41051   0.00828
    425.0   0.41370   0.00779
    430.0   0.42032   0.00776
    435.0   0.42748   0.00827
    440.0   0.43779   0.00833
    445.0   0.44718   0.00733
    450.0   0.45347   0.00747
    455.0   0.46239   0.00569
    460.0   0.46626   0.00640
    465.0   0.47237   0.00479
    470.0   0.47472   0.00483
    475.0   0.47667   0.00536
    480.0   0.48031   0.00518
    485.0   0.48208   0.00548
    490.0   0.48378   0.00553
    495.0   0.48563   0.00557
    500.0   0.48632   0.00548
    505.0   0.48640   0.00512
    510.0   0.48741   0.00490
    515.0   0.48840   0.00542
    520.0   0.48909   0.00527
    525.0   0.48994   0.00478
    530.0   0.49117   0.00458
    535.0   0.49225   0.00514
    540.0   0.49323   0.00525
    545.0   0.49367   0.00509
    550.0   0.49397   0.00511
    555.0   0.49387   0.00525
    560.0   0.49375   0.00474
    565.0   0.49402   0.00656
    570.0   0.49491   0.00633
    575.0   0.49565   0.00598
    580.0   0.49684   0.00569
    585.0   0.49752   0.00492
    590.0   0.49774   0.00503
    595.0   0.49847   0.00506
    600.0   0.49927   0.00532
    605.0   0.50035   0.00557
    610.0   0.50191   0.00564
    615.0   0.50306   0.00470
    620.0   0.50348   0.00482
    625.0   0.50452   0.00515
    630.0   0.50521   0.00548
    635.0   0.50642   0.00574
    640.0   0.50791   0.00569
    645.0   0.50875   0.00547
    650.0   0.50875   0.00576
    655.0   0.50915   0.00477
    660.0   0.50898   0.00495
    665.0   0.50832   0.00574
    670.0   0.50845   0.00614
    675.0   0.50864   0.00478
    680.0   0.50859   0.00464
    685.0   0.50803   0.00538
    690.0   0.50811   0.00519
    695.0   0.50875   0.00460
    700.0   0.50954   0.00452
    705.0   0.50941   0.00539
    710.0   0.50967   0.00527
    715.0   0.50997   0.00488
    720.0   0.50955   0.00518
    725.0   0.50945   0.00489
    730.0   0.51021   0.00484
    735.0   0.51146   0.00506
    740.0   0.51253   0.00500
    745.0   0.51365   0.00609
    750.0   0.51417   0.00609
    755.0   0.51430   0.00642
    760.0   0.51389   0.00624
    765.0   0.51352   0.00639
    770.0   0.51297   0.00647
    775.0   0.51280   0.00689
    780.0   0.51288   0.00717
    785.0   0.51324   0.00809
    790.0   0.51349   0.00761
    795.0   0.51450   0.00733
    800.0   0.51521   0.00712
    805.0   0.51567   0.00559
    810.0   0.51608   0.00546
    815.0   0.51650   0.00579
    820.0   0.51658   0.00579
    825.0   0.51618   0.00538
    830.0   0.51621   0.00573
    835.0   0.51629   0.00532
    840.0   0.51652   0.00533
    845.0   0.51641   0.00565
    850.0   0.51672   0.00573
    855.0   0.51751   0.00595
    860.0   0.51801   0.00587
    865.0   0.51834   0.00632
    870.0   0.51866   0.00640
    875.0   0.51894   0.00642
    880.0   0.51865   0.00668



 C1MP100A    .ASC                        

 MP-TXH-100-A                                                            
 ALH-78113,145 aubrite (white part) <45 um                               
 * User: TXH                                                             
 * Research Type: Cosmochemistry, Asteroid-Meteorite,                    
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary Geosciences                                      
 * Public Release Date: 06/13/2006                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 3.5 mm                                                 
 * Scrambler: Out                                                        
 * Depolarizer: Out                                                      
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 13-JUN-03   Time: 16:40:08
