    52
    370.0   0.02526   0.01248
    380.0   0.02793   0.00854
    390.0   0.02919   0.00402
    400.0   0.03060   0.00234
    410.0   0.03180   0.00157
    420.0   0.03323   0.00112
    430.0   0.03469   0.00090
    440.0   0.03611   0.00078
    450.0   0.03723   0.00075
    460.0   0.03822   0.00068
    470.0   0.03933   0.00067
    480.0   0.04066   0.00060
    490.0   0.04188   0.00057
    500.0   0.04289   0.00067
    510.0   0.04400   0.00067
    520.0   0.04480   0.00063
    530.0   0.04543   0.00067
    540.0   0.04602   0.00063
    550.0   0.04651   0.00062
    560.0   0.04681   0.00065
    570.0   0.04702   0.00062
    580.0   0.04711   0.00062
    590.0   0.04701   0.00061
    600.0   0.04684   0.00063
    610.0   0.04662   0.00066
    620.0   0.04626   0.00066
    630.0   0.04602   0.00071
    640.0   0.04569   0.00070
    650.0   0.04540   0.00073
    660.0   0.04525   0.00066
    670.0   0.04505   0.00071
    680.0   0.04495   0.00065
    690.0   0.04474   0.00064
    700.0   0.04460   0.00069
    710.0   0.04435   0.00070
    720.0   0.04439   0.00073
    730.0   0.04449   0.00078
    740.0   0.04452   0.00081
    750.0   0.04477   0.00095
    760.0   0.04505   0.00102
    770.0   0.04535   0.00111
    780.0   0.04564   0.00124
    790.0   0.04603   0.00140
    800.0   0.04643   0.00156
    810.0   0.04670   0.00175
    820.0   0.04718   0.00185
    830.0   0.04720   0.00193
    840.0   0.04748   0.00200
    850.0   0.04743   0.00201
    860.0   0.04741   0.00199
    870.0   0.04737   0.00205
    880.0   0.04739   0.00231



 CEMP198A            .ASC                        

 MP-TXH-198-A                                                            
 ALH 84040 (CM2) <125 um / Spectralon at (i,e)=(50,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/15/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.805430e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 50.00   Detect Ang:  0.00  Volt: 0.777
 Date: 15-SEP-16   Time: 14:58:34
