   117
    320.0   0.03538   0.00452
    325.0   0.03525   0.00445
    330.0   0.03540   0.00390
    335.0   0.03569   0.00373
    340.0   0.03583   0.00346
    345.0   0.03609   0.00330
    350.0   0.03639   0.00362
    355.0   0.03626   0.00349
    360.0   0.03639   0.00327
    365.0   0.03654   0.00337
    370.0   0.03666   0.00336
    375.0   0.03692   0.00338
    380.0   0.03728   0.00355
    385.0   0.03735   0.00344
    390.0   0.03764   0.00359
    395.0   0.03791   0.00386
    400.0   0.03792   0.01156
    405.0   0.03838   0.00950
    410.0   0.03868   0.00811
    415.0   0.03932   0.01018
    420.0   0.03961   0.00849
    425.0   0.03994   0.00729
    430.0   0.04016   0.00651
    435.0   0.04036   0.00591
    440.0   0.04050   0.00533
    445.0   0.04058   0.00491
    450.0   0.04076   0.00448
    455.0   0.04091   0.00417
    460.0   0.04092   0.00389
    465.0   0.04106   0.00360
    470.0   0.04130   0.00334
    475.0   0.04133   0.00316
    480.0   0.04158   0.00295
    485.0   0.04196   0.00279
    490.0   0.04189   0.00266
    495.0   0.04211   0.00248
    500.0   0.04218   0.00242
    505.0   0.04235   0.00227
    510.0   0.04244   0.00217
    515.0   0.04250   0.00204
    520.0   0.04264   0.00199
    525.0   0.04274   0.00190
    530.0   0.04273   0.00183
    535.0   0.04280   0.00176
    540.0   0.04285   0.00173
    545.0   0.04286   0.00165
    550.0   0.04285   0.00159
    555.0   0.04286   0.00209
    560.0   0.04289   0.00150
    565.0   0.04285   0.00147
    570.0   0.04280   0.00142
    575.0   0.04276   0.00142
    580.0   0.04257   0.00137
    585.0   0.04255   0.00138
    590.0   0.04243   0.00137
    595.0   0.04216   0.00133
    600.0   0.04197   0.00133
    605.0   0.04189   0.00130
    610.0   0.04194   0.00132
    615.0   0.04182   0.00130
    620.0   0.04165   0.00133
    625.0   0.04149   0.00133
    630.0   0.04144   0.00135
    635.0   0.04133   0.00135
    640.0   0.04123   0.00138
    645.0   0.04122   0.00139
    650.0   0.04111   0.00143
    655.0   0.04100   0.00148
    660.0   0.04094   0.00153
    665.0   0.04105   0.00153
    670.0   0.04084   0.00152
    675.0   0.04083   0.00147
    680.0   0.04077   0.00144
    685.0   0.04070   0.00141
    690.0   0.04072   0.00144
    695.0   0.04062   0.00146
    700.0   0.04051   0.00148
    705.0   0.04048   0.00151
    710.0   0.04044   0.00154
    715.0   0.04042   0.00158
    720.0   0.04044   0.00168
    725.0   0.04044   0.00175
    730.0   0.04042   0.00180
    735.0   0.04044   0.00190
    740.0   0.04039   0.00197
    745.0   0.04034   0.00207
    750.0   0.04025   0.00215
    755.0   0.04017   0.00227
    760.0   0.04015   0.00236
    765.0   0.04011   0.00255
    770.0   0.04009   0.00265
    775.0   0.04013   0.00280
    780.0   0.04017   0.00293
    785.0   0.04013   0.00309
    790.0   0.04019   0.00325
    795.0   0.04020   0.00341
    800.0   0.04022   0.00355
    805.0   0.04026   0.00372
    810.0   0.04037   0.00387
    815.0   0.04042   0.00401
    820.0   0.04048   0.00412
    825.0   0.04054   0.00423
    830.0   0.04057   0.00430
    835.0   0.04052   0.00436
    840.0   0.04054   0.00439
    845.0   0.04057   0.00438
    850.0   0.04056   0.00435
    855.0   0.04053   0.00428
    860.0   0.04055   0.00431
    865.0   0.04056   0.00432
    870.0   0.04056   0.00440
    875.0   0.04052   0.00457
    880.0   0.04052   0.00494
    885.0   0.04059   0.00571
    890.0   0.04053   0.00719
    895.0   0.04056   0.01021
    900.0   0.04031   0.01616



 C2MT232V            .ASC                        

 MT-S1S-232                                                              
 Murchison 2-cm chip Spot 2                                              
 No depolarizer was used over the UV range of 320-400 nm                 
 * User: S1K                                                             
 * Research Type: NASA - Foreign, Active Missions, Hayabusa2             
 * NASA PI/CoI or Sponsor: S1S                                           
 * BVC: Visitor                                                          
 * Public Release Date: 07/29/2018                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Manual                                                    
 * Spinning: No                                                          
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 1.5                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.451518e-004                             
 RATIOS ADJUSTED USING NBS HALON CALIBRATION TABLE                       

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 29-JUL-15   Time: 15:18:15
