    52
    370.0   0.02357   0.00926
    380.0   0.02373   0.00638
    390.0   0.02387   0.00301
    400.0   0.02401   0.00178
    410.0   0.02410   0.00120
    420.0   0.02434   0.00089
    430.0   0.02450   0.00070
    440.0   0.02456   0.00062
    450.0   0.02463   0.00058
    460.0   0.02480   0.00052
    470.0   0.02491   0.00050
    480.0   0.02502   0.00044
    490.0   0.02520   0.00044
    500.0   0.02524   0.00052
    510.0   0.02537   0.00051
    520.0   0.02539   0.00047
    530.0   0.02552   0.00046
    540.0   0.02557   0.00047
    550.0   0.02563   0.00044
    560.0   0.02568   0.00044
    570.0   0.02574   0.00044
    580.0   0.02574   0.00044
    590.0   0.02582   0.00043
    600.0   0.02587   0.00045
    610.0   0.02592   0.00045
    620.0   0.02591   0.00045
    630.0   0.02594   0.00046
    640.0   0.02596   0.00048
    650.0   0.02599   0.00051
    660.0   0.02601   0.00045
    670.0   0.02608   0.00046
    680.0   0.02618   0.00047
    690.0   0.02618   0.00046
    700.0   0.02624   0.00047
    710.0   0.02625   0.00051
    720.0   0.02624   0.00052
    730.0   0.02627   0.00058
    740.0   0.02622   0.00063
    750.0   0.02632   0.00068
    760.0   0.02634   0.00077
    770.0   0.02635   0.00084
    780.0   0.02636   0.00095
    790.0   0.02635   0.00105
    800.0   0.02646   0.00115
    810.0   0.02650   0.00131
    820.0   0.02647   0.00137
    830.0   0.02648   0.00146
    840.0   0.02648   0.00153
    850.0   0.02655   0.00153
    860.0   0.02656   0.00152
    870.0   0.02654   0.00157
    880.0   0.02669   0.00180



 CCMP226A3           .ASC                        

 MP-TXH-226-A3                                                           
 MET 00639 (CM2) <125 um / Spectralon at (i,e)=(30,0)                    
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/22/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.976115e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 22-SEP-16   Time: 15:23:12
