  2905
   1666.7   0.16104   0.00355
   1667.3   0.16108   0.00367
   1667.8   0.16104   0.00361
   1668.3   0.16088   0.00350
   1668.9   0.16083   0.00366
   1669.4   0.16084   0.00379
   1670.0   0.16080   0.00364
   1670.5   0.16085   0.00340
   1671.0   0.16085   0.00330
   1671.6   0.16070   0.00321
   1672.1   0.16064   0.00319
   1672.7   0.16083   0.00322
   1673.2   0.16089   0.00342
   1673.7   0.16068   0.00350
   1674.3   0.16061   0.00343
   1674.8   0.16070   0.00349
   1675.4   0.16074   0.00332
   1675.9   0.16065   0.00322
   1676.4   0.16061   0.00334
   1677.0   0.16063   0.00346
   1677.5   0.16060   0.00349
   1678.1   0.16057   0.00342
   1678.6   0.16059   0.00340
   1679.2   0.16054   0.00333
   1679.7   0.16049   0.00324
   1680.3   0.16043   0.00323
   1680.8   0.16032   0.00331
   1681.3   0.16030   0.00334
   1681.9   0.16038   0.00336
   1682.4   0.16042   0.00335
   1683.0   0.16036   0.00338
   1683.5   0.16035   0.00354
   1684.1   0.16034   0.00352
   1684.6   0.16025   0.00350
   1685.2   0.16014   0.00336
   1685.7   0.16008   0.00317
   1686.3   0.16008   0.00332
   1686.8   0.16010   0.00351
   1687.3   0.16011   0.00338
   1687.9   0.16006   0.00327
   1688.4   0.16007   0.00338
   1689.0   0.15995   0.00335
   1689.6   0.15985   0.00325
   1690.1   0.15992   0.00331
   1690.7   0.15999   0.00341
   1691.2   0.15990   0.00337
   1691.8   0.15986   0.00346
   1692.3   0.15985   0.00360
   1692.9   0.15986   0.00348
   1693.4   0.15993   0.00324
   1694.0   0.15993   0.00316
   1694.5   0.15981   0.00324
   1695.1   0.15976   0.00332
   1695.6   0.15981   0.00331
   1696.2   0.15981   0.00337
   1696.7   0.15974   0.00355
   1697.3   0.15971   0.00341
   1697.8   0.15965   0.00320
   1698.4   0.15965   0.00331
   1699.0   0.15972   0.00347
   1699.5   0.15961   0.00352
   1700.1   0.15939   0.00349
   1700.6   0.15940   0.00341
   1701.2   0.15946   0.00328
   1701.8   0.15949   0.00322
   1702.3   0.15953   0.00335
   1702.9   0.15950   0.00350
   1703.4   0.15947   0.00345
   1704.0   0.15949   0.00338
   1704.6   0.15938   0.00334
   1705.1   0.15930   0.00325
   1705.7   0.15930   0.00331
   1706.2   0.15930   0.00338
   1706.8   0.15930   0.00337
   1707.4   0.15925   0.00329
   1707.9   0.15917   0.00324
   1708.5   0.15925   0.00332
   1709.1   0.15911   0.00338
   1709.6   0.15891   0.00339
   1710.2   0.15882   0.00341
   1710.7   0.15888   0.00342
   1711.3   0.15899   0.00344
   1711.9   0.15900   0.00333
   1712.4   0.15895   0.00338
   1713.0   0.15894   0.00340
   1713.6   0.15894   0.00339
   1714.1   0.15896   0.00344
   1714.7   0.15892   0.00344
   1715.3   0.15891   0.00345
   1715.8   0.15892   0.00353
   1716.4   0.15887   0.00351
   1717.0   0.15883   0.00332
   1717.5   0.15889   0.00332
   1718.1   0.15892   0.00325
   1718.7   0.15890   0.00334
   1719.3   0.15879   0.00350
   1719.8   0.15873   0.00351
   1720.4   0.15868   0.00339
   1721.0   0.15867   0.00333
   1721.5   0.15873   0.00334
   1722.1   0.15867   0.00323
   1722.7   0.15872   0.00322
   1723.3   0.15870   0.00328
   1723.8   0.15864   0.00331
   1724.4   0.15856   0.00341
   1725.0   0.15846   0.00341
   1725.5   0.15847   0.00338
   1726.1   0.15856   0.00341
   1726.7   0.15863   0.00337
   1727.3   0.15859   0.00337
   1727.8   0.15853   0.00336
   1728.4   0.15845   0.00321
   1729.0   0.15844   0.00320
   1729.6   0.15841   0.00329
   1730.2   0.15839   0.00328
   1730.7   0.15833   0.00333
   1731.3   0.15832   0.00342
   1731.9   0.15831   0.00339
   1732.5   0.15832   0.00334
   1733.0   0.15825   0.00337
   1733.6   0.15820   0.00339
   1734.2   0.15816   0.00343
   1734.8   0.15815   0.00353
   1735.4   0.15820   0.00356
   1735.9   0.15824   0.00347
   1736.5   0.15825   0.00339
   1737.1   0.15813   0.00335
   1737.7   0.15803   0.00334
   1738.3   0.15802   0.00339
   1738.8   0.15800   0.00334
   1739.4   0.15797   0.00329
   1740.0   0.15799   0.00314
   1740.6   0.15791   0.00323
   1741.2   0.15785   0.00336
   1741.8   0.15790   0.00341
   1742.4   0.15791   0.00334
   1742.9   0.15781   0.00334
   1743.5   0.15777   0.00342
   1744.1   0.15773   0.00340
   1744.7   0.15770   0.00340
   1745.3   0.15775   0.00342
   1745.9   0.15780   0.00337
   1746.5   0.15782   0.00344
   1747.1   0.15782   0.00342
   1747.6   0.15770   0.00330
   1748.2   0.15762   0.00329
   1748.8   0.15762   0.00334
   1749.4   0.15754   0.00337
   1750.0   0.15749   0.00340
   1750.6   0.15738   0.00340
   1751.2   0.15729   0.00342
   1751.8   0.15738   0.00346
   1752.4   0.15744   0.00334
   1753.0   0.15747   0.00325
   1753.6   0.15736   0.00336
   1754.2   0.15729   0.00340
   1754.7   0.15724   0.00334
   1755.3   0.15722   0.00323
   1755.9   0.15719   0.00339
   1756.5   0.15719   0.00352
   1757.1   0.15727   0.00352
   1757.7   0.15729   0.00343
   1758.3   0.15727   0.00330
   1758.9   0.15722   0.00322
   1759.5   0.15714   0.00328
   1760.1   0.15708   0.00339
   1760.7   0.15706   0.00343
   1761.3   0.15702   0.00342
   1761.9   0.15706   0.00342
   1762.5   0.15706   0.00338
   1763.1   0.15697   0.00348
   1763.7   0.15701   0.00352
   1764.3   0.15701   0.00343
   1764.9   0.15698   0.00345
