    52
    370.0   0.02776   0.01051
    380.0   0.02987   0.00711
    390.0   0.03050   0.00338
    400.0   0.03140   0.00202
    410.0   0.03241   0.00131
    420.0   0.03342   0.00096
    430.0   0.03439   0.00079
    440.0   0.03536   0.00067
    450.0   0.03610   0.00058
    460.0   0.03683   0.00054
    470.0   0.03759   0.00052
    480.0   0.03848   0.00047
    490.0   0.03921   0.00046
    500.0   0.03985   0.00054
    510.0   0.04060   0.00051
    520.0   0.04107   0.00049
    530.0   0.04147   0.00049
    540.0   0.04170   0.00048
    550.0   0.04193   0.00046
    560.0   0.04206   0.00045
    570.0   0.04212   0.00044
    580.0   0.04202   0.00046
    590.0   0.04187   0.00045
    600.0   0.04172   0.00048
    610.0   0.04143   0.00047
    620.0   0.04116   0.00048
    630.0   0.04084   0.00050
    640.0   0.04056   0.00051
    650.0   0.04032   0.00057
    660.0   0.03997   0.00048
    670.0   0.03982   0.00049
    680.0   0.03964   0.00048
    690.0   0.03946   0.00050
    700.0   0.03937   0.00051
    710.0   0.03934   0.00055
    720.0   0.03918   0.00059
    730.0   0.03913   0.00063
    740.0   0.03925   0.00068
    750.0   0.03940   0.00076
    760.0   0.03958   0.00086
    770.0   0.03974   0.00096
    780.0   0.03978   0.00107
    790.0   0.04007   0.00121
    800.0   0.04023   0.00135
    810.0   0.04027   0.00149
    820.0   0.04035   0.00160
    830.0   0.04028   0.00168
    840.0   0.04015   0.00172
    850.0   0.03997   0.00171
    860.0   0.03972   0.00167
    870.0   0.03893   0.00173
    880.0   0.03780   0.00192



 CCMP198D            .ASC                        

 MP-TXH-198-D                                                            
 ALH 84040 (CM2) 250-500 um / Spectralon at (i,e)=(30,0)                 
 * User: TXH                                                             
 * Research Type: SSERVI, Active Missions, Hayabusa2                     
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary GeoSciences                                      
 * Public Release Date: 09/15/2019                                       
 * Run Mode: All Scan Ranges for Each Sample                             
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Azimuth Angle: 0.0                                                    
 * Aperture Size: 9.0                                                    
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 * Initial Background at Home: 8.921641e-004                             
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang: 30.00   Detect Ang:  0.00  Volt: 0.777
 Date: 15-SEP-16   Time: 09:44:09
