    74
    320.0   0.09363   0.07760
    330.0   0.10558   0.04037
    340.0   0.11171   0.02496
    350.0   0.11797   0.01676
    360.0   0.12282   0.01091
    370.0   0.12706   0.00783
    380.0   0.12944   0.00633
    390.0   0.13089   0.00627
    400.0   0.13037   0.00279
    410.0   0.13135   0.00195
    420.0   0.13178   0.00161
    430.0   0.13189   0.00145
    440.0   0.13260   0.00128
    450.0   0.13300   0.00129
    460.0   0.13375   0.00108
    470.0   0.13454   0.00105
    480.0   0.13554   0.00127
    490.0   0.13576   0.00121
    500.0   0.13605   0.00120
    510.0   0.13693   0.00120
    520.0   0.13778   0.00139
    530.0   0.13866   0.00132
    540.0   0.13871   0.00125
    550.0   0.13917   0.00120
    560.0   0.13926   0.00112
    570.0   0.13904   0.00104
    580.0   0.13858   0.00100
    590.0   0.13857   0.00105
    600.0   0.13844   0.00354
    610.0   0.13851   0.00336
    620.0   0.13906   0.00316
    630.0   0.13973   0.00269
    640.0   0.14036   0.00257
    650.0   0.14094   0.00225
    660.0   0.14129   0.00318
    670.0   0.14180   0.00288
    680.0   0.14166   0.00291
    690.0   0.14219   0.00290
    700.0   0.14211   0.00318
    710.0   0.14260   0.00333
    720.0   0.14251   0.00359
    730.0   0.14251   0.00473
    740.0   0.14219   0.00464
    750.0   0.14219   0.00531
    760.0   0.14111   0.00570
    770.0   0.14064   0.00622
    780.0   0.13992   0.00638
    790.0   0.13917   0.00731
    800.0   0.13705   0.00733
    810.0   0.13447   0.00736
    820.0   0.13349   0.00754
    830.0   0.13168   0.00753
    840.0   0.13015   0.00680
    850.0   0.12870   0.00629
    860.0   0.12676   0.00549
    870.0   0.12516   0.00476
    880.0   0.12349   0.00403
    890.0   0.12243   0.00349
    900.0   0.12197   0.00309
    910.0   0.12062   0.00254
    920.0   0.12080   0.00251
    930.0   0.12088   0.00233
    940.0   0.12004   0.00204
    950.0   0.12013   0.00198
    960.0   0.12024   0.00196
    970.0   0.12019   0.00178
    980.0   0.12095   0.00189
    990.0   0.12127   0.00162
   1000.0   0.12183   0.00187
   1010.0   0.12200   0.00185
   1020.0   0.12271   0.00181
   1030.0   0.12234   0.00160
   1040.0   0.12328   0.00205
   1050.0   0.12351   0.00203



 C2OC10CD            .ASC                        

 OC-TXH-010-CD                                                           
 Alta'ameem (LL5) Dark clast <125 um                                     
 (9, 0) / Spectralon (9, 0)                                              
 * User: TXH                                                             
 * Research Type: Active Missions, DDAP, Hayabusa,                       
 * NASA PI/CoI or Sponsor: TXH                                           
 * BVC: Brown Planetary Geosciences                                      
 * Public Release Date: 05/18/2009                                       
 * Run Mode: All Samples at Each Wavelength                              
 * Stage Type: Automatic                                                 
 * Spinning: Yes                                                         
 * Aperture Size: 7.0 mm                                                 
 * Scrambler: In                                                         
 * Depolarizer: In                                                       
 RATIOS ADJUSTED USING RELAB SRS-99 REFLECTANCE SPECTRUM (SRS99C.DAT)    

 Source Ang:  9.00   Detect Ang:  0.00  Volt: 0.777
 Date: 18-MAY-06   Time: 15:31:48
